index,cell,cell_ontology_class,mouse.id
O15_B000806_B008540_S351.mm10-plus-6-0,O15_B000806,macrophage,18_46_F
O16_B000477_B008543_S352.mm10-plus-6-0,O16_B000477,"CD8-positive, alpha-beta T cell",18_53_M
O16_B000806_B008540_S352.mm10-plus-6-0,O16_B000806,macrophage,18_46_F
O17_B000477_B008543_S353.mm10-plus-6-0,O17_B000477,epithelial cell,18_53_M
O1_B000477_B008543_S337.mm10-plus-6-0,O1_B000477,mesenchymal stem cell of adipose,18_53_M
O1_B000806_B008540_S337.mm10-plus-6-0,O1_B000806,mesenchymal stem cell of adipose,18_46_F
O2_B000806_B008540_S338.mm10-plus-6-0,O2_B000806,mesenchymal stem cell of adipose,18_46_F
O3_B000477_B008543_S339.mm10-plus-6-0,O3_B000477,mesenchymal stem cell of adipose,18_53_M
O3_B000806_B008540_S339.mm10-plus-6-0,O3_B000806,mesenchymal stem cell of adipose,18_46_F
O4_B000477_B008543_S340.mm10-plus-6-0,O4_B000477,mesenchymal stem cell of adipose,18_53_M
O5_B000477_B008543_S341.mm10-plus-6-0,O5_B000477,mesenchymal stem cell of adipose,18_53_M
O5_B000806_B008540_S341.mm10-plus-6-0,O5_B000806,mesenchymal stem cell of adipose,18_46_F
O6_B000477_B008543_S342.mm10-plus-6-0,O6_B000477,mesenchymal stem cell of adipose,18_53_M
O6_B000806_B008540_S342.mm10-plus-6-0,O6_B000806,mesenchymal stem cell of adipose,18_46_F
O7_B000477_B008543_S343.mm10-plus-6-0,O7_B000477,mesenchymal stem cell of adipose,18_53_M
O7_B000806_B008540_S343.mm10-plus-6-0,O7_B000806,mesenchymal stem cell of adipose,18_46_F
O8_B000477_B008543_S344.mm10-plus-6-0,O8_B000477,mesenchymal stem cell of adipose,18_53_M
O8_B000806_B008540_S344.mm10-plus-6-0,O8_B000806,mesenchymal stem cell of adipose,18_46_F
O9_B000477_B008543_S345.mm10-plus-6-0,O9_B000477,myeloid cell,18_53_M
O9_B000806_B008540_S345.mm10-plus-6-0,O9_B000806,"CD8-positive, alpha-beta T cell",18_46_F
P10_B000477_B008543_S370.mm10-plus-6-0,P10_B000477,"CD8-positive, alpha-beta T cell",18_53_M
P11_B000477_B008543_S371.mm10-plus-6-0,P11_B000477,B cell,18_53_M
P12_B000477_B008543_S372.mm10-plus-6-0,P12_B000477,myeloid cell,18_53_M
P13_B000477_B008543_S373.mm10-plus-6-0,P13_B000477,myeloid cell,18_53_M
P14_B000477_B008543_S374.mm10-plus-6-0,P14_B000477,"CD8-positive, alpha-beta T cell",18_53_M
P14_B000806_B008540_S374.mm10-plus-6-0,P14_B000806,B cell,18_46_F
P15_B000477_B008543_S375.mm10-plus-6-0,P15_B000477,B cell,18_53_M
P16_B000477_B008543_S376.mm10-plus-6-0,P16_B000477,myeloid cell,18_53_M
P1_B000477_B008543_S361.mm10-plus-6-0,P1_B000477,mesenchymal stem cell of adipose,18_53_M
P1_B000806_B008540_S361.mm10-plus-6-0,P1_B000806,mesenchymal stem cell of adipose,18_46_F
P20_B000477_B008543_S380.mm10-plus-6-0,P20_B000477,endothelial cell,18_53_M
P2_B000477_B008543_S362.mm10-plus-6-0,P2_B000477,mesenchymal stem cell of adipose,18_53_M
P2_B000806_B008540_S362.mm10-plus-6-0,P2_B000806,mesenchymal stem cell of adipose,18_46_F
P3_B000477_B008543_S363.mm10-plus-6-0,P3_B000477,mesenchymal stem cell of adipose,18_53_M
P3_B000806_B008540_S363.mm10-plus-6-0,P3_B000806,mesenchymal stem cell of adipose,18_46_F
P4_B000477_B008543_S364.mm10-plus-6-0,P4_B000477,mesenchymal stem cell of adipose,18_53_M
P4_B000806_B008540_S364.mm10-plus-6-0,P4_B000806,mesenchymal stem cell of adipose,18_46_F
P5_B000477_B008543_S365.mm10-plus-6-0,P5_B000477,mesenchymal stem cell of adipose,18_53_M
P5_B000806_B008540_S365.mm10-plus-6-0,P5_B000806,mesenchymal stem cell of adipose,18_46_F
P6_B000477_B008543_S366.mm10-plus-6-0,P6_B000477,mesenchymal stem cell of adipose,18_53_M
P6_B000806_B008540_S366.mm10-plus-6-0,P6_B000806,mesenchymal stem cell of adipose,18_46_F
P7_B000477_B008543_S367.mm10-plus-6-0,P7_B000477,mesenchymal stem cell of adipose,18_53_M
P7_B000806_B008540_S367.mm10-plus-6-0,P7_B000806,mesenchymal stem cell of adipose,18_46_F
P8_B000477_B008543_S368.mm10-plus-6-0,P8_B000477,mesenchymal stem cell of adipose,18_53_M
P8_B000806_B008540_S368.mm10-plus-6-0,P8_B000806,mesenchymal stem cell of adipose,18_46_F
P9_B000477_B008543_S369.mm10-plus-6-0,P9_B000477,B cell,18_53_M
A10_B003022_B008546_S10.mm10-plus-7-0,A10_B003022,myeloid cell,18_45_M
A12_B003022_B008546_S12.mm10-plus-7-0,A12_B003022,B cell,18_45_M
A13_B003022_B008546_S13.mm10-plus-7-0,A13_B003022,"CD8-positive, alpha-beta T cell",18_45_M
A14_B003022_B008546_S14.mm10-plus-7-0,A14_B003022,B cell,18_45_M
A15_B003022_B008546_S15.mm10-plus-7-0,A15_B003022,myeloid cell,18_45_M
A16_B003022_B008546_S16.mm10-plus-7-0,A16_B003022,B cell,18_45_M
A17_B003022_B008546_S17.mm10-plus-7-0,A17_B003022,endothelial cell,18_45_M
A18_B003022_B008546_S18.mm10-plus-7-0,A18_B003022,endothelial cell,18_45_M
A19_B003022_B008546_S19.mm10-plus-7-0,A19_B003022,endothelial cell,18_45_M
A1_B003022_B008546_S1.mm10-plus-7-0,A1_B003022,mesenchymal stem cell of adipose,18_45_M
A20_B003022_B008546_S20.mm10-plus-7-0,A20_B003022,endothelial cell,18_45_M
A2_B003022_B008546_S2.mm10-plus-7-0,A2_B003022,mesenchymal stem cell of adipose,18_45_M
A4_B003022_B008546_S4.mm10-plus-7-0,A4_B003022,mesenchymal stem cell of adipose,18_45_M
A5_B003022_B008546_S5.mm10-plus-7-0,A5_B003022,mesenchymal stem cell of adipose,18_45_M
A6_B003022_B008546_S6.mm10-plus-7-0,A6_B003022,mesenchymal stem cell of adipose,18_45_M
A7_B003022_B008546_S7.mm10-plus-7-0,A7_B003022,mesenchymal stem cell of adipose,18_45_M
A8_B003022_B008546_S8.mm10-plus-7-0,A8_B003022,mesenchymal stem cell of adipose,18_45_M
A9_B003022_B008546_S9.mm10-plus-7-0,A9_B003022,myeloid cell,18_45_M
B11_B003022_B008546_S35.mm10-plus-7-0,B11_B003022,B cell,18_45_M
B12_B003022_B008546_S36.mm10-plus-7-0,B12_B003022,NK cell,18_45_M
B13_B003022_B008546_S37.mm10-plus-7-0,B13_B003022,T cell,18_45_M
B14_B003022_B008546_S38.mm10-plus-7-0,B14_B003022,B cell,18_45_M
B15_B003022_B008546_S39.mm10-plus-7-0,B15_B003022,myeloid cell,18_45_M
B16_B003022_B008546_S40.mm10-plus-7-0,B16_B003022,macrophage,18_45_M
B19_B003022_B008546_S43.mm10-plus-7-0,B19_B003022,endothelial cell,18_45_M
B22_B003022_B008546_S46.mm10-plus-7-0,B22_B003022,endothelial cell,18_45_M
B2_B003022_B008546_S26.mm10-plus-7-0,B2_B003022,mesenchymal stem cell of adipose,18_45_M
B3_B003022_B008546_S27.mm10-plus-7-0,B3_B003022,mesenchymal stem cell of adipose,18_45_M
B4_B003022_B008546_S28.mm10-plus-7-0,B4_B003022,mesenchymal stem cell of adipose,18_45_M
B6_B003022_B008546_S30.mm10-plus-7-0,B6_B003022,mesenchymal stem cell of adipose,18_45_M
B7_B003022_B008546_S31.mm10-plus-7-0,B7_B003022,mesenchymal stem cell of adipose,18_45_M
B8_B003022_B008546_S32.mm10-plus-7-0,B8_B003022,mesenchymal stem cell of adipose,18_45_M
B9_B003022_B008546_S33.mm10-plus-7-0,B9_B003022,myeloid cell,18_45_M
C10_B003022_B008546_S58.mm10-plus-7-0,C10_B003022,NK cell,18_45_M
C11_B003022_B008546_S59.mm10-plus-7-0,C11_B003022,myeloid cell,18_45_M
C12_B003022_B008546_S60.mm10-plus-7-0,C12_B003022,B cell,18_45_M
C13_B003022_B008546_S61.mm10-plus-7-0,C13_B003022,myeloid cell,18_45_M
C14_B003022_B008546_S62.mm10-plus-7-0,C14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
C15_B003022_B008546_S63.mm10-plus-7-0,C15_B003022,"CD8-positive, alpha-beta T cell",18_45_M
C16_B003022_B008546_S64.mm10-plus-7-0,C16_B003022,B cell,18_45_M
C17_B003022_B008546_S65.mm10-plus-7-0,C17_B003022,endothelial cell,18_45_M
C1_B003022_B008546_S49.mm10-plus-7-0,C1_B003022,mesenchymal stem cell of adipose,18_45_M
C3_B003022_B008546_S51.mm10-plus-7-0,C3_B003022,mesenchymal stem cell of adipose,18_45_M
C4_B003022_B008546_S52.mm10-plus-7-0,C4_B003022,mesenchymal stem cell of adipose,18_45_M
C5_B003022_B008546_S53.mm10-plus-7-0,C5_B003022,mesenchymal stem cell of adipose,18_45_M
C6_B003022_B008546_S54.mm10-plus-7-0,C6_B003022,mesenchymal stem cell of adipose,18_45_M
C7_B003022_B008546_S55.mm10-plus-7-0,C7_B003022,mesenchymal stem cell of adipose,18_45_M
C8_B003022_B008546_S56.mm10-plus-7-0,C8_B003022,mesenchymal stem cell of adipose,18_45_M
C9_B003022_B008546_S57.mm10-plus-7-0,C9_B003022,myeloid cell,18_45_M
D10_B003022_B008546_S82.mm10-plus-7-0,D10_B003022,myeloid cell,18_45_M
D11_B003022_B008546_S83.mm10-plus-7-0,D11_B003022,NK cell,18_45_M
D12_B003022_B008546_S84.mm10-plus-7-0,D12_B003022,myeloid cell,18_45_M
D13_B003022_B008546_S85.mm10-plus-7-0,D13_B003022,NK cell,18_45_M
D14_B003022_B008546_S86.mm10-plus-7-0,D14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
D15_B003022_B008546_S87.mm10-plus-7-0,D15_B003022,NK cell,18_45_M
D16_B003022_B008546_S88.mm10-plus-7-0,D16_B003022,myeloid cell,18_45_M
D1_B003022_B008546_S73.mm10-plus-7-0,D1_B003022,mesenchymal stem cell of adipose,18_45_M
D22_B003022_B008546_S94.mm10-plus-7-0,D22_B003022,endothelial cell,18_45_M
D2_B003022_B008546_S74.mm10-plus-7-0,D2_B003022,mesenchymal stem cell of adipose,18_45_M
D3_B003022_B008546_S75.mm10-plus-7-0,D3_B003022,mesenchymal stem cell of adipose,18_45_M
D5_B003022_B008546_S77.mm10-plus-7-0,D5_B003022,mesenchymal stem cell of adipose,18_45_M
D6_B003022_B008546_S78.mm10-plus-7-0,D6_B003022,mesenchymal stem cell of adipose,18_45_M
D7_B003022_B008546_S79.mm10-plus-7-0,D7_B003022,mesenchymal stem cell of adipose,18_45_M
D8_B003022_B008546_S80.mm10-plus-7-0,D8_B003022,mesenchymal stem cell of adipose,18_45_M
D9_B003022_B008546_S81.mm10-plus-7-0,D9_B003022,myeloid cell,18_45_M
E10_B003022_B008546_S106.mm10-plus-7-0,E10_B003022,B cell,18_45_M
E11_B003022_B008546_S107.mm10-plus-7-0,E11_B003022,"CD8-positive, alpha-beta T cell",18_45_M
E12_B003022_B008546_S108.mm10-plus-7-0,E12_B003022,B cell,18_45_M
E13_B003022_B008546_S109.mm10-plus-7-0,E13_B003022,macrophage,18_45_M
E14_B003022_B008546_S110.mm10-plus-7-0,E14_B003022,B cell,18_45_M
E15_B003022_B008546_S111.mm10-plus-7-0,E15_B003022,"CD8-positive, alpha-beta T cell",18_45_M
E19_B003022_B008546_S115.mm10-plus-7-0,E19_B003022,endothelial cell,18_45_M
E1_B003022_B008546_S97.mm10-plus-7-0,E1_B003022,mesenchymal stem cell of adipose,18_45_M
E2_B003022_B008546_S98.mm10-plus-7-0,E2_B003022,mesenchymal stem cell of adipose,18_45_M
E3_B003022_B008546_S99.mm10-plus-7-0,E3_B003022,mesenchymal stem cell of adipose,18_45_M
E4_B003022_B008546_S100.mm10-plus-7-0,E4_B003022,mesenchymal stem cell of adipose,18_45_M
E5_B003022_B008546_S101.mm10-plus-7-0,E5_B003022,mesenchymal stem cell of adipose,18_45_M
E6_B003022_B008546_S102.mm10-plus-7-0,E6_B003022,mesenchymal stem cell of adipose,18_45_M
E7_B003022_B008546_S103.mm10-plus-7-0,E7_B003022,mesenchymal stem cell of adipose,18_45_M
E8_B003022_B008546_S104.mm10-plus-7-0,E8_B003022,mesenchymal stem cell of adipose,18_45_M
E9_B003022_B008546_S105.mm10-plus-7-0,E9_B003022,"CD8-positive, alpha-beta T cell",18_45_M
F10_B003022_B008546_S130.mm10-plus-7-0,F10_B003022,NK cell,18_45_M
F11_B003022_B008546_S131.mm10-plus-7-0,F11_B003022,myeloid cell,18_45_M
F12_B003022_B008546_S132.mm10-plus-7-0,F12_B003022,B cell,18_45_M
F13_B003022_B008546_S133.mm10-plus-7-0,F13_B003022,myeloid cell,18_45_M
F14_B003022_B008546_S134.mm10-plus-7-0,F14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
F15_B003022_B008546_S135.mm10-plus-7-0,F15_B003022,myeloid cell,18_45_M
F16_B003022_B008546_S136.mm10-plus-7-0,F16_B003022,NK cell,18_45_M
F19_B003022_B008546_S139.mm10-plus-7-0,F19_B003022,endothelial cell,18_45_M
F1_B003022_B008546_S121.mm10-plus-7-0,F1_B003022,mesenchymal stem cell of adipose,18_45_M
F22_B003022_B008546_S142.mm10-plus-7-0,F22_B003022,endothelial cell,18_45_M
F2_B003022_B008546_S122.mm10-plus-7-0,F2_B003022,mesenchymal stem cell of adipose,18_45_M
F3_B003022_B008546_S123.mm10-plus-7-0,F3_B003022,mesenchymal stem cell of adipose,18_45_M
F4_B003022_B008546_S124.mm10-plus-7-0,F4_B003022,mesenchymal stem cell of adipose,18_45_M
F5_B003022_B008546_S125.mm10-plus-7-0,F5_B003022,mesenchymal stem cell of adipose,18_45_M
F6_B003022_B008546_S126.mm10-plus-7-0,F6_B003022,mesenchymal stem cell of adipose,18_45_M
F8_B003022_B008546_S128.mm10-plus-7-0,F8_B003022,mesenchymal stem cell of adipose,18_45_M
F9_B003022_B008546_S129.mm10-plus-7-0,F9_B003022,"CD8-positive, alpha-beta T cell",18_45_M
G10_B003022_B008546_S154.mm10-plus-7-0,G10_B003022,"CD8-positive, alpha-beta T cell",18_45_M
G11_B003022_B008546_S155.mm10-plus-7-0,G11_B003022,myeloid cell,18_45_M
G12_B003022_B008546_S156.mm10-plus-7-0,G12_B003022,"CD4-positive, alpha-beta T cell",18_45_M
G13_B003022_B008546_S157.mm10-plus-7-0,G13_B003022,NK cell,18_45_M
G14_B003022_B008546_S158.mm10-plus-7-0,G14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
G15_B003022_B008546_S159.mm10-plus-7-0,G15_B003022,myeloid cell,18_45_M
G16_B003022_B008546_S160.mm10-plus-7-0,G16_B003022,T cell,18_45_M
G1_B003022_B008546_S145.mm10-plus-7-0,G1_B003022,mesenchymal stem cell of adipose,18_45_M
G20_B003022_B008546_S164.mm10-plus-7-0,G20_B003022,mesenchymal stem cell of adipose,18_45_M
G2_B003022_B008546_S146.mm10-plus-7-0,G2_B003022,mesenchymal stem cell of adipose,18_45_M
G3_B003022_B008546_S147.mm10-plus-7-0,G3_B003022,mesenchymal stem cell of adipose,18_45_M
G4_B003022_B008546_S148.mm10-plus-7-0,G4_B003022,mesenchymal stem cell of adipose,18_45_M
G5_B003022_B008546_S149.mm10-plus-7-0,G5_B003022,mesenchymal stem cell of adipose,18_45_M
G6_B003022_B008546_S150.mm10-plus-7-0,G6_B003022,mesenchymal stem cell of adipose,18_45_M
G7_B003022_B008546_S151.mm10-plus-7-0,G7_B003022,mesenchymal stem cell of adipose,18_45_M
G8_B003022_B008546_S152.mm10-plus-7-0,G8_B003022,mesenchymal stem cell of adipose,18_45_M
G9_B003022_B008546_S153.mm10-plus-7-0,G9_B003022,macrophage,18_45_M
H10_B003022_B008546_S178.mm10-plus-7-0,H10_B003022,NK cell,18_45_M
H11_B003022_B008546_S179.mm10-plus-7-0,H11_B003022,macrophage,18_45_M
H12_B003022_B008546_S180.mm10-plus-7-0,H12_B003022,T cell,18_45_M
H13_B003022_B008546_S181.mm10-plus-7-0,H13_B003022,myeloid cell,18_45_M
H14_B003022_B008546_S182.mm10-plus-7-0,H14_B003022,"CD4-positive, alpha-beta T cell",18_45_M
H15_B003022_B008546_S183.mm10-plus-7-0,H15_B003022,myeloid cell,18_45_M
H16_B003022_B008546_S184.mm10-plus-7-0,H16_B003022,B cell,18_45_M
H18_B003022_B008546_S186.mm10-plus-7-0,H18_B003022,endothelial cell,18_45_M
H19_B003022_B008546_S187.mm10-plus-7-0,H19_B003022,endothelial cell,18_45_M
H1_B003022_B008546_S169.mm10-plus-7-0,H1_B003022,mesenchymal stem cell of adipose,18_45_M
H21_B003022_B008546_S189.mm10-plus-7-0,H21_B003022,endothelial cell,18_45_M
H2_B003022_B008546_S170.mm10-plus-7-0,H2_B003022,mesenchymal stem cell of adipose,18_45_M
H3_B003022_B008546_S171.mm10-plus-7-0,H3_B003022,mesenchymal stem cell of adipose,18_45_M
H4_B003022_B008546_S172.mm10-plus-7-0,H4_B003022,mesenchymal stem cell of adipose,18_45_M
H5_B003022_B008546_S173.mm10-plus-7-0,H5_B003022,mesenchymal stem cell of adipose,18_45_M
H6_B003022_B008546_S174.mm10-plus-7-0,H6_B003022,mesenchymal stem cell of adipose,18_45_M
H7_B003022_B008546_S175.mm10-plus-7-0,H7_B003022,mesenchymal stem cell of adipose,18_45_M
H8_B003022_B008546_S176.mm10-plus-7-0,H8_B003022,mesenchymal stem cell of adipose,18_45_M
H9_B003022_B008546_S177.mm10-plus-7-0,H9_B003022,macrophage,18_45_M
I10_B003022_B008546_S202.mm10-plus-7-0,I10_B003022,myeloid cell,18_45_M
I11_B003022_B008546_S203.mm10-plus-7-0,I11_B003022,B cell,18_45_M
I13_B003022_B008546_S205.mm10-plus-7-0,I13_B003022,"CD8-positive, alpha-beta T cell",18_45_M
I14_B003022_B008546_S206.mm10-plus-7-0,I14_B003022,NK cell,18_45_M
I15_B003022_B008546_S207.mm10-plus-7-0,I15_B003022,B cell,18_45_M
I16_B003022_B008546_S208.mm10-plus-7-0,I16_B003022,myeloid cell,18_45_M
I17_B003022_B008546_S209.mm10-plus-7-0,I17_B003022,mesenchymal stem cell of adipose,18_45_M
I18_B003022_B008546_S210.mm10-plus-7-0,I18_B003022,endothelial cell,18_45_M
I1_B003022_B008546_S193.mm10-plus-7-0,I1_B003022,mesenchymal stem cell of adipose,18_45_M
I2_B003022_B008546_S194.mm10-plus-7-0,I2_B003022,mesenchymal stem cell of adipose,18_45_M
I3_B003022_B008546_S195.mm10-plus-7-0,I3_B003022,mesenchymal stem cell of adipose,18_45_M
I4_B003022_B008546_S196.mm10-plus-7-0,I4_B003022,mesenchymal stem cell of adipose,18_45_M
I5_B003022_B008546_S197.mm10-plus-7-0,I5_B003022,mesenchymal stem cell of adipose,18_45_M
I6_B003022_B008546_S198.mm10-plus-7-0,I6_B003022,mesenchymal stem cell of adipose,18_45_M
I7_B003022_B008546_S199.mm10-plus-7-0,I7_B003022,mesenchymal stem cell of adipose,18_45_M
I8_B003022_B008546_S200.mm10-plus-7-0,I8_B003022,mesenchymal stem cell of adipose,18_45_M
I9_B003022_B008546_S201.mm10-plus-7-0,I9_B003022,myeloid cell,18_45_M
J10_B003022_B008546_S226.mm10-plus-7-0,J10_B003022,macrophage,18_45_M
J11_B003022_B008546_S227.mm10-plus-7-0,J11_B003022,myeloid cell,18_45_M
J12_B003022_B008546_S228.mm10-plus-7-0,J12_B003022,macrophage,18_45_M
J13_B003022_B008546_S229.mm10-plus-7-0,J13_B003022,B cell,18_45_M
J14_B003022_B008546_S230.mm10-plus-7-0,J14_B003022,myeloid cell,18_45_M
J15_B003022_B008546_S231.mm10-plus-7-0,J15_B003022,"CD8-positive, alpha-beta T cell",18_45_M
J16_B003022_B008546_S232.mm10-plus-7-0,J16_B003022,NK cell,18_45_M
J3_B003022_B008546_S219.mm10-plus-7-0,J3_B003022,mesenchymal stem cell of adipose,18_45_M
J4_B003022_B008546_S220.mm10-plus-7-0,J4_B003022,mesenchymal stem cell of adipose,18_45_M
J5_B003022_B008546_S221.mm10-plus-7-0,J5_B003022,mesenchymal stem cell of adipose,18_45_M
J7_B003022_B008546_S223.mm10-plus-7-0,J7_B003022,mesenchymal stem cell of adipose,18_45_M
J8_B003022_B008546_S224.mm10-plus-7-0,J8_B003022,mesenchymal stem cell of adipose,18_45_M
K11_B003022_B008546_S251.mm10-plus-7-0,K11_B003022,macrophage,18_45_M
K12_B003022_B008546_S252.mm10-plus-7-0,K12_B003022,"CD8-positive, alpha-beta T cell",18_45_M
K14_B003022_B008546_S254.mm10-plus-7-0,K14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
K15_B003022_B008546_S255.mm10-plus-7-0,K15_B003022,myeloid cell,18_45_M
K1_B003022_B008546_S241.mm10-plus-7-0,K1_B003022,mesenchymal stem cell of adipose,18_45_M
K20_B003022_B008546_S260.mm10-plus-7-0,K20_B003022,endothelial cell,18_45_M
K21_B003022_B008546_S261.mm10-plus-7-0,K21_B003022,endothelial cell,18_45_M
K2_B003022_B008546_S242.mm10-plus-7-0,K2_B003022,mesenchymal stem cell of adipose,18_45_M
K3_B003022_B008546_S243.mm10-plus-7-0,K3_B003022,mesenchymal stem cell of adipose,18_45_M
K4_B003022_B008546_S244.mm10-plus-7-0,K4_B003022,mesenchymal stem cell of adipose,18_45_M
K5_B003022_B008546_S245.mm10-plus-7-0,K5_B003022,mesenchymal stem cell of adipose,18_45_M
K6_B003022_B008546_S246.mm10-plus-7-0,K6_B003022,mesenchymal stem cell of adipose,18_45_M
K7_B003022_B008546_S247.mm10-plus-7-0,K7_B003022,mesenchymal stem cell of adipose,18_45_M
K8_B003022_B008546_S248.mm10-plus-7-0,K8_B003022,mesenchymal stem cell of adipose,18_45_M
K9_B003022_B008546_S249.mm10-plus-7-0,K9_B003022,myeloid cell,18_45_M
L10_B003022_B008546_S274.mm10-plus-7-0,L10_B003022,myeloid cell,18_45_M
L11_B003022_B008546_S275.mm10-plus-7-0,L11_B003022,"CD8-positive, alpha-beta T cell",18_45_M
L12_B003022_B008546_S276.mm10-plus-7-0,L12_B003022,macrophage,18_45_M
L13_B003022_B008546_S277.mm10-plus-7-0,L13_B003022,myeloid cell,18_45_M
L14_B003022_B008546_S278.mm10-plus-7-0,L14_B003022,myeloid cell,18_45_M
L15_B003022_B008546_S279.mm10-plus-7-0,L15_B003022,myeloid cell,18_45_M
L16_B003022_B008546_S280.mm10-plus-7-0,L16_B003022,B cell,18_45_M
L1_B003022_B008546_S265.mm10-plus-7-0,L1_B003022,mesenchymal stem cell of adipose,18_45_M
L22_B003022_B008546_S286.mm10-plus-7-0,L22_B003022,endothelial cell,18_45_M
L4_B003022_B008546_S268.mm10-plus-7-0,L4_B003022,mesenchymal stem cell of adipose,18_45_M
L5_B003022_B008546_S269.mm10-plus-7-0,L5_B003022,mesenchymal stem cell of adipose,18_45_M
L6_B003022_B008546_S270.mm10-plus-7-0,L6_B003022,mesenchymal stem cell of adipose,18_45_M
L7_B003022_B008546_S271.mm10-plus-7-0,L7_B003022,mesenchymal stem cell of adipose,18_45_M
L8_B003022_B008546_S272.mm10-plus-7-0,L8_B003022,mesenchymal stem cell of adipose,18_45_M
L9_B003022_B008546_S273.mm10-plus-7-0,L9_B003022,myeloid cell,18_45_M
M10_B003022_B008546_S298.mm10-plus-7-0,M10_B003022,macrophage,18_45_M
M11_B003022_B008546_S299.mm10-plus-7-0,M11_B003022,macrophage,18_45_M
M12_B003022_B008546_S300.mm10-plus-7-0,M12_B003022,macrophage,18_45_M
M13_B003022_B008546_S301.mm10-plus-7-0,M13_B003022,myeloid cell,18_45_M
M14_B003022_B008546_S302.mm10-plus-7-0,M14_B003022,B cell,18_45_M
M15_B003022_B008546_S303.mm10-plus-7-0,M15_B003022,"CD8-positive, alpha-beta T cell",18_45_M
M16_B003022_B008546_S304.mm10-plus-7-0,M16_B003022,T cell,18_45_M
M1_B003022_B008546_S289.mm10-plus-7-0,M1_B003022,mesenchymal stem cell of adipose,18_45_M
M22_B003022_B008546_S310.mm10-plus-7-0,M22_B003022,endothelial cell,18_45_M
M2_B003022_B008546_S290.mm10-plus-7-0,M2_B003022,mesenchymal stem cell of adipose,18_45_M
M3_B003022_B008546_S291.mm10-plus-7-0,M3_B003022,mesenchymal stem cell of adipose,18_45_M
M4_B003022_B008546_S292.mm10-plus-7-0,M4_B003022,mesenchymal stem cell of adipose,18_45_M
M5_B003022_B008546_S293.mm10-plus-7-0,M5_B003022,mesenchymal stem cell of adipose,18_45_M
M6_B003022_B008546_S294.mm10-plus-7-0,M6_B003022,mesenchymal stem cell of adipose,18_45_M
M7_B003022_B008546_S295.mm10-plus-7-0,M7_B003022,mesenchymal stem cell of adipose,18_45_M
M8_B003022_B008546_S296.mm10-plus-7-0,M8_B003022,mesenchymal stem cell of adipose,18_45_M
M9_B003022_B008546_S297.mm10-plus-7-0,M9_B003022,macrophage,18_45_M
N10_B003022_B008546_S322.mm10-plus-7-0,N10_B003022,myeloid cell,18_45_M
N11_B003022_B008546_S323.mm10-plus-7-0,N11_B003022,B cell,18_45_M
N12_B003022_B008546_S324.mm10-plus-7-0,N12_B003022,macrophage,18_45_M
N13_B003022_B008546_S325.mm10-plus-7-0,N13_B003022,myeloid cell,18_45_M
N15_B003022_B008546_S327.mm10-plus-7-0,N15_B003022,B cell,18_45_M
N16_B003022_B008546_S328.mm10-plus-7-0,N16_B003022,"CD8-positive, alpha-beta T cell",18_45_M
N1_B003022_B008546_S313.mm10-plus-7-0,N1_B003022,mesenchymal stem cell of adipose,18_45_M
N2_B003022_B008546_S314.mm10-plus-7-0,N2_B003022,mesenchymal stem cell of adipose,18_45_M
N3_B003022_B008546_S315.mm10-plus-7-0,N3_B003022,mesenchymal stem cell of adipose,18_45_M
N4_B003022_B008546_S316.mm10-plus-7-0,N4_B003022,mesenchymal stem cell of adipose,18_45_M
N5_B003022_B008546_S317.mm10-plus-7-0,N5_B003022,mesenchymal stem cell of adipose,18_45_M
N6_B003022_B008546_S318.mm10-plus-7-0,N6_B003022,mesenchymal stem cell of adipose,18_45_M
N7_B003022_B008546_S319.mm10-plus-7-0,N7_B003022,mesenchymal stem cell of adipose,18_45_M
N8_B003022_B008546_S320.mm10-plus-7-0,N8_B003022,mesenchymal stem cell of adipose,18_45_M
N9_B003022_B008546_S321.mm10-plus-7-0,N9_B003022,myeloid cell,18_45_M
O10_B003022_B008546_S346.mm10-plus-7-0,O10_B003022,B cell,18_45_M
O11_B003022_B008546_S347.mm10-plus-7-0,O11_B003022,macrophage,18_45_M
O12_B003022_B008546_S348.mm10-plus-7-0,O12_B003022,B cell,18_45_M
O13_B003022_B008546_S349.mm10-plus-7-0,O13_B003022,B cell,18_45_M
O14_B003022_B008546_S350.mm10-plus-7-0,O14_B003022,"CD8-positive, alpha-beta T cell",18_45_M
O15_B003022_B008546_S351.mm10-plus-7-0,O15_B003022,myeloid cell,18_45_M
O16_B003022_B008546_S352.mm10-plus-7-0,O16_B003022,B cell,18_45_M
O19_B003022_B008546_S355.mm10-plus-7-0,O19_B003022,mesenchymal stem cell of adipose,18_45_M
O1_B003022_B008546_S337.mm10-plus-7-0,O1_B003022,mesenchymal stem cell of adipose,18_45_M
O21_B003022_B008546_S357.mm10-plus-7-0,O21_B003022,endothelial cell,18_45_M
O22_B003022_B008546_S358.mm10-plus-7-0,O22_B003022,mesenchymal stem cell of adipose,18_45_M
O2_B003022_B008546_S338.mm10-plus-7-0,O2_B003022,mesenchymal stem cell of adipose,18_45_M
